permno,date,ticker,prc,ret,shrout,vol
84788,29-05-2018,AMZN,1612.87,0.001689,485227,3858445
84788,30-05-2018,AMZN,1624.89001,0.007453,485227,2906533
84788,31-05-2018,AMZN,1629.62,0.002911,485227,3165730
84788,01-06-2018,AMZN,1641.54004,0.007315,485227,3313192
84788,04-06-2018,AMZN,1665.27002,0.014456,485227,3216693
84788,05-06-2018,AMZN,1696.34998,0.018664,485227,4781491
84788,06-06-2018,AMZN,1695.75,-0.000354,485227,5471913
84788,07-06-2018,AMZN,1689.30005,-0.003804,485227,3763887
84788,08-06-2018,AMZN,1683.98999,-0.003143,485227,2954130
84788,11-06-2018,AMZN,1689.12,0.003046,485227,2334584
84788,12-06-2018,AMZN,1698.75,0.005701,485227,2258715
84788,13-06-2018,AMZN,1704.85999,0.003597,485227,3326534
84788,14-06-2018,AMZN,1723.85999,0.011145,485227,3173615
84788,15-06-2018,AMZN,1715.96997,-0.004577,485227,4776755
84788,18-06-2018,AMZN,1723.79004,0.004557,485227,3107336
84788,19-06-2018,AMZN,1734.78003,0.006375,485227,4379320
84788,20-06-2018,AMZN,1750.07996,0.00882,485227,4331191
84788,21-06-2018,AMZN,1730.21997,-0.011348,485227,4939948
84788,22-06-2018,AMZN,1715.67004,-0.008409,485227,4074324
84788,25-06-2018,AMZN,1663.15002,-0.030612,485227,7507866
84788,26-06-2018,AMZN,1691.08997,0.016799,485227,4382467
84788,27-06-2018,AMZN,1660.51001,-0.018083,485227,4867726
84788,28-06-2018,AMZN,1701.44995,0.024655,485227,4524018
84788,29-06-2018,AMZN,1699.80005,-0.00097,487000,4536074
84788,02-07-2018,AMZN,1713.78003,0.008224,487000,3162491
84788,03-07-2018,AMZN,1693.95996,-0.011565,487000,2169340
84788,05-07-2018,AMZN,1699.72998,0.003406,487000,2981258
84788,06-07-2018,AMZN,1710.63,0.006413,487000,2649232
84788,09-07-2018,AMZN,1739.02002,0.016596,487000,3003881
84788,10-07-2018,AMZN,1743.06995,0.002329,487000,2991947
84788,11-07-2018,AMZN,1755,0.006844,487000,3200133
84788,12-07-2018,AMZN,1796.62,0.023715,487000,4534658
84788,13-07-2018,AMZN,1813.03003,0.009134,487000,4419450
84788,16-07-2018,AMZN,1822.48999,0.005218,487000,5468220
84788,17-07-2018,AMZN,1843.93005,0.011764,487000,5679603
84788,18-07-2018,AMZN,1842.92004,-0.000548,487741,4861679
84788,19-07-2018,AMZN,1812.96997,-0.016251,487741,4676352
84788,20-07-2018,AMZN,1813.69995,0.000403,487741,3888996
84788,23-07-2018,AMZN,1802,-0.006451,487741,3866466
84788,24-07-2018,AMZN,1829.23999,0.015117,487741,4249939
84788,25-07-2018,AMZN,1863.60999,0.018789,487741,3815041
84788,26-07-2018,AMZN,1808,-0.02984,487741,9921319
84788,27-07-2018,AMZN,1817.27002,0.005127,487741,9672332
84788,30-07-2018,AMZN,1779.21997,-0.020938,487741,6550348
84788,31-07-2018,AMZN,1777.43994,-0.001,487741,5735694
84788,01-08-2018,AMZN,1797.17004,0.0111,487741,4152902
84788,02-08-2018,AMZN,1834.32996,0.020677,487741,4354681
84788,03-08-2018,AMZN,1823.29004,-0.006019,487741,3460487
84788,06-08-2018,AMZN,1847.75,0.013415,487741,3391730
84788,07-08-2018,AMZN,1862.47998,0.007972,487741,3377527
84788,08-08-2018,AMZN,1886.52002,0.012908,487741,3962917
84788,09-08-2018,AMZN,1898.52002,0.006361,487741,4854574
84788,10-08-2018,AMZN,1886.30005,-0.006437,487741,3639950
84788,13-08-2018,AMZN,1896.19995,0.005248,487741,5531478
84788,14-08-2018,AMZN,1919.65002,0.012367,487741,3986983
84788,15-08-2018,AMZN,1882.62,-0.01929,487741,7700507
84788,16-08-2018,AMZN,1886.52002,0.002072,487741,3957090
